ListingURL,ListingID,ListingType,ListingTitle,ListingPrice,ListingCategory,ListingLocations,SellersOrganizationName
https://www.businessforsale.com.au/australia/ABB1590/fish--chips-business-for-sale,1590,Takeaway,FISH & CHIPS BUSINESS FOR SALE,"$99,000 ",Business for Sale > Victoria > Melbourne Region > Mooroolbark > Food and Hospitality > Takeaway,Mooroolbark VIC,https://www.businessforsale.com.au/business-brokers-profile/AB2233/aslan-business-brokers
https://www.businessforsale.com.au/australia/BB21245/easy-managed-pizza-shop-for-family-business-trade-only-night-time-in-southern-suburb-adelaide,21245,Takeaway,Easy managed pizza shop for family business trade only night time in southern suburb Adelaide,"$75,000 + SAV",Business for Sale > South Australia > Adelaide Region > Mitchell Park > Food and Hospitality > Takeaway,Mitchell Park SA,https://www.businessforsale.com.au/business-brokers-profile/AB0599/business-brokers-network-australia
https://www.businessforsale.com.au/australia/BBFbonza_51_3209/33147-patented-fitness-accessory-unlock-the-potential,bonza_51_3209,Clothing,33147 Patented Fitness Accessory - Unlock The Potential,"$49,000 ","Business for Sale > Victoria > Mornington Peninsula & Bass Coast Region > Carrum > Clothing, Fashion and Accessories > Clothing",Carrum VIC,https://www.businessforsale.com.au/business-brokers-profile/AB1561/bonza-business--franchise-sales-pty-ltd
https://www.businessforsale.com.au/australia/5fa22dffae/commercial-safety-assurance-franchise-for-sale-coffs-harbour,4254354010,Electrical,Commercial Safety Assurance Franchise For Sale - Coffs Harbour,Contact Seller for Price P.O.A.,"Business for Sale > New South Wales > Sydney Region > Coffs Harbour > Garden, Household Repairs and Maintenance > Electrical",Coffs Harbour NSW,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/LNK117-NSW11098/skin-cancer-clinic.-dpa-mmm1-nsw-central-coast.,117-NSW11098,Terrigal,Skin cancer clinic. DPA + MMM1 NSW Central Coast.,"$115,000  ONO ",Business for Sale > New South Wales > Gosford & Central Coast Region > Terrigal,Terrigal NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0839/link-nsw
https://www.businessforsale.com.au/australia/DBH17960/shade-sail-business,17960,Lawn/Garden Maintenance,Shade Sail Business,"$35,000","Business for Sale > New South Wales > Gosford & Central Coast Region > Doyalson > Garden, Household Repairs and Maintenance > Lawn/Garden Maintenance",Doyalson NSW,https://www.businessforsale.com.au/business-brokers-profile/AB2057/direct-business-hub
https://www.businessforsale.com.au/australia/9ae8577f8c/health-food-manufacturing-and-distribution,228061,Manufacturing,Health Food Manufacturing and Distribution,"$125,000 ",Business for Sale > New South Wales > Brisbane Region > Brisbane > Food and Hospitality > Manufacturing,Brisbane NSW,https://www.businessforsale.com.au/business-brokers-profile/AB0456/better-business-and-commercial-sales
https://www.businessforsale.com.au/australia/DBH9529/leading-vip-car-care-franchises-for-sale-be-your-own-boss,9529,Detailing,Leading VIP Car Care Franchises for Sale Be Your Own Boss!,"$19,000",Business for Sale > New South Wales > Gosford & Central Coast Region > Lake Haven > Bike and Automotive > Detailing,Lake Haven NSW,https://www.businessforsale.com.au/business-brokers-profile/AB2057/direct-business-hub
https://www.businessforsale.com.au/australia/c389d80c75/just-now-vending-franchise-for-sale-darwin,3624354285,Vending,Just Now Vending Franchise For Sale - Darwin,"$50,000 ",Business for Sale > Northern Territory > Darwin Region > Darwin > Leisure/Entertainment > Vending,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
https://www.businessforsale.com.au/australia/4632427a54/just-better-care-franchise-darwin,5390356368,Aged Care,Just Better Care - Franchise - Darwin,"$65,000 ",Business for Sale > Northern Territory > Darwin Region > Darwin > Accommodation and Tourism > Aged Care,Darwin NT,https://www.businessforsale.com.au/business-brokers-profile/AB1007/johnston-business-sales
